Secondary School Code,School Name,Address Line #1,Address Line #2,Domestic Address #3,City,State,ZIP,Foreign Address #3,Country Name,Website
100983,DAYSPRING CHRISTIAN ACADEMY,2579 WOODS CHAPEL ROAD,,,MARIANNA,FL,32446,,,
100985,FOREST LAKE ACADEMY,500 EDUCATION LOOP,,,APOPKA,FL,32703,6176,,
100986,LAKE HOWELL HIGH SCHOOL,4200 DIKE RD,,,WINTER PARK,FL,32792,6399,,
100987,WOODLAND HALL ACADEMY,5246 CENTERVILLE RD,,,TALLAHASSEE,FL,32309,2057,,
100989,ORANGEWOOD CHRISTIAN SCHOOL,1300 W MAITLAND BLVD,,,MAITLAND,FL,32751,4334,,
100990,MALONE HIGH SCHOOL,5361 NINTH STREET,PO BOX 68,,MALONE,FL,32445,,,
100991,MIAMI LAKES EDUC CENTER,5780 NW 158TH STREET,,,MIAMI LAKES,FL,33014,6720,,
100993,MARATHON HIGH SCHOOL,350 SOMBRERO BEACH ROAD,,,MARATHON,FL,33050,,,
100994,ARCHBISHOP COLEMAN CARROLL HS,10300 SW 167TH AVE,,,MIAMI,FL,33196,4910,,
100997,ADULT EDUCATION CENTER,2971 GUYTON ST,,,MARIANNA,FL,32446,2913,,
101000,XCEED PREP ACAD MIAMI DADELAND,9350 S DIXIE HWY STE 160,,,MIAMI,FL,33156,2991,,
101001,EBENEZER CHRISTIAN ACADEMY,3901 NW 2ND AVE,,,MIAMI,FL,33127,2921,,
101002,MARIANNA HIGH SCHOOL,3546 CAVERNS RD,,,MARIANNA,FL,32446,1803,,
101003,HOLY TRINITY EPISCOPAL ACADEMY,5625 HOLY TRINITY DR,,,MELBOURNE,FL,32940,7308,,
101004,FELIX VARELA SENIOR HIGH,15255 SW 96 ST,,,MIAMI,FL,33196,1200,,
101006,SCHOOL FOR ADV STUDIES WOLFSON,25 NE 2ND ST RM 5516,,,MIAMI,FL,33132,2103,,
101007,WEST MELBOURNE CHRSTN ACADEMY,3150 MILWAUKEE AVE,,,MELBOURNE,FL,32904,6419,,
101009,WEST SHORE JUNIOR-SENIOR HS,250 WILDCAT ALY,,,MELBOURNE,FL,32935,6405,,
101010,NEOCITY ACADEMY,195 NEOCITY WAY,,,KISSIMMEE,FL,34744,4408,,
101012,GULLIVER PREP SCH-MILLER DRIVE,8000 SW 56TH ST,,,MIAMI,FL,33155,4349,,
101014,PARKHURST ACADEMY,3550 W EAU GALLIE BLVD,,,MELBOURNE,FL,32934,7298,,
101015,LAFAYETTE HIGH SCHOOL,160 NE HORNET LANE,,,MAYO,FL,32066,5632,,
101017,BREVARD CHRISTIAN SCHOOL,1100 DORCHESTER AVENUE,,,WEST MELBOURNE,FL,32904,6712,,
101018,MELBOURNE CENTRAL CATHOLIC HS,100 E FLORIDA AVE,,,MELBOURNE,FL,32901,8302,,
101019,EDA,14052 NORTHWEST 82ND AVE,,,MIAMI LAKES,FL,33016,,,
101020,FLORIDA AIR ACADEMY,1950 ACADEMY DR,,,MELBOURNE,FL,32901,4315,,
101022,NEW COVENANT SCHOOL INC,1990W NEW HAVEN AVE STE 306,,,MELBOURNE,FL,32904,3924,,
101024,MIAMI UNION ACADEMY,12600 NW 4TH AVE,,,NORTH MIAMI,FL,33168,3628,,
101025,MELBOURNE HIGH SCHOOL,74 BULLDOG BLVD,,,MELBOURNE,FL,32901,3151,,
101026,PALM BAY MAGNET HIGH SCHOOL,101 PIRATE LN,,,MELBOURNE,FL,32901,8629,,
101029,CALUSA PREPARATORY SCHOOL,12515 SW 72ND ST,,,MIAMI,FL,33183,2515,,
101030,INTERLACHEN JR SR HIGH SCHOOL,126 N COUNTY ROAD 315,,,INTERLACHEN,FL,32148,7340,,
101031,MERRITT ISLAND CHRISTIAN SCH,140 MAGNOLIA AVE,,,MERRITT ISLAND,FL,32952,4816,,
101032,MIAMI COUNTRY DAY SCHOOL,601 NE 107TH ST,,,MIAMI,FL,33161,7165,,
101033,MERRITT ISLAND HIGH SCHOOL,100 MUSTANG WAY,,,MERRITT ISLAND,FL,32953,3150,,
101038,TREASURE OF KNOWLEDGE CHRSTN,13001 LANDSTAR BLVD,,,ORLANDO,FL,32824,9378,,
101041,DOROTHY M WALLACE COPE CENTER,10225 SW 147TH TER,,,MIAMI,FL,33176,7744,,
101042,NORTH TAMPA CHRISTIAN ACADEMY,5585 E COUNTY LINE RD,,,WESLEY CHAPEL,FL,33544,9301,,
101045,AMBROSE BAY HIGH SCHOOL,14280 S MILITARY TRL UNIT 7501,,,DELRAY BEACH,FL,33482,5068,,
101047,CARROLLTON SACRED HEART SCHOOL,3747 MAIN HWY,,,MIAMI,FL,33133,5907,,
101048,CHRISTOPHER COLUMBUS HS,3000 SW 87TH AVE,,,MIAMI,FL,33165,3245,,
101049,SEED SCHOOL OF MIAMI,1901 NW 127TH ST,,,MIAMI,FL,33167,1425,,
101052,FLORIDA CHRISTIAN SCHOOL,4200 SOUTHWEST 89TH AVENUE,,,MIAMI,FL,33165,5392,,
101055,PALMER TRINITY SCHOOL,8001 SW 184TH ST,,,MIAMI,FL,33157,6242,,
101057,GREATER MIAMI ADVENTIST ACAD,500 NW 122ND AVE,,,MIAMI,FL,33182,1200,,
101059,BELEN JESUIT PREPARATORY SCH,500 SW 127TH AVE,,,MIAMI,FL,33184,1319,,
101060,CENTER ACADEMY WATERFORD LAKES,1331 S ALAFAYA TRL,,,ORLANDO,FL,32828,8914,,
101061,IMMACULATA LASALLE HIGH SCHOOL,3601 S MIAMI AVE,,,MIAMI,FL,33133,4205,,
101062,MIAMI CENTRAL SR HIGH SCHOOL,1781 NW 95TH ST,,,MIAMI,FL,33147,3159,,
101063,MIAMI CHRISTIAN SCHOOL,200 NW 109TH AVE,,,MIAMI,FL,33172,5212,,
101064,MIAMI EDISON SENIOR HS,6161 NW 5TH CT,,,MIAMI,FL,33127,1259,,
101065,FIELDSTON PREPARATORY SCHOOL,2940 COLUMBIA RD,,,TITUSVILLE,FL,32780,7801,,
101066,LINDSEY HOPKINS EDUCATION CTR,750 NORTHWEST 20 STREET,,,MIAMI,FL,33127,4758,,
101067,MIAMI CORAL PARK SENIOR HS,8865 SW 16TH ST,,,MIAMI,FL,33165,7802,,
101068,MIAMI JACKSON SENIOR HS,1751 NORTHWEST 36TH STREET,,,MIAMI,FL,33142,,,
101069,MIAMI KILLIAN SR HIGH SCHOOL,10655 SW 97TH AVE,,,MIAMI,FL,33176,2808,,
101070,MANATEE LEARNING ACADEMY,6210 17TH AVE W,,,BRADENTON,FL,34209,7838,,
101073,MIAMI NORLAND SR HIGH SCHOOL,1193 NW 193RD ST,,,MIAMI GARDENS,FL,33169,3122,,
101074,BRITO MIAMI PRIVATE SCHOOL,2732 SW 32ND AVE,,,MIAMI,FL,33133,2800,,
101075,MIAMI SENIOR HIGH SCHOOL,2450 SW 1ST ST,,,MIAMI,FL,33135,1402,,
101077,MIAMI VIRTUAL SCHOOL,7950 NW 53RD ST STE 337,,,MIAMI,FL,33166,4791,,
101078,C O P E CENTER NORTH,9950 NW 19TH AVE,,,MIAMI,FL,33147,1302,,
101080,ALACHUA ACADEMY,3430 NE 39TH AVE,,,GAINESVILLE,FL,32609,2638,,
101081,CHAMPAGNAT CATHOLIC SCHOOL,1851 PALM AVE,,,HIALEAH,FL,33010,2650,,
101084,PROGRESIVA PRESBYTERIAN SCHOOL,2480 NORTHWEST SEVENTH STREET,,,MIAMI,FL,33125,,,
101085,MIAMI NORTHWESTERN SR HIGH SCH,1100 NW 71ST ST,,,MIAMI,FL,33150,3894,,
101087,MIAMI SOUTHRIDGE SENIOR HIGH,19355 SW 114TH AVE,,,MIAMI,FL,33157,8107,,
101088,NORTHWEST CHRISTIAN ACADEMY,951 NW 136TH ST,,,MIAMI,FL,33168,6728,,
101089,MIAMI SUNSET SR HIGH SCHOOL,13125 SW 72ND ST,,,MIAMI,FL,33183,2427,,
101091,VICTORY PREPARATORY SCHOOL,110 MASTERS DR,,,ST AUGUSTINE,FL,32084,3133,,
101095,RANSOM EVERGLADES SCHOOL,3575 MAIN HWY,,,COCONUT GROVE,FL,33133,5903,,
101097,SAINT BRENDAN HIGH SCHOOL,2950 SW 87TH AVE,,,MIAMI,FL,33165,3244,,
101098,INTERNATIONAL CHRISTN LABELLE,233 CLARK ST,,,LABELLE,FL,33935,4816,,
101101,SOUTH MIAMI SENIOR HS,6856 SW 53RD ST,,,MIAMI,FL,33155,5716,,
101102,SOUTHWEST MIAMI SENIOR HIGH SC,8855 SW 50TH TER,,,MIAMI,FL,33165,6763,,
101104,ATLANTIS ACADEMY,9600 SW 107TH AVE,,,MIAMI,FL,33176,2759,,
101105,WESTMINSTER CHRISTIAN SCHOOL,6855 SW 152ND ST,,,PALMETTO BAY,FL,33157,2623,,
101108,JOSHUA CHRISTIAN ACADEMY,924 SAINT CLAIR ST,,,JACKSONVILLE,FL,32254,3148,,
101109,WESTWOOD CHRISTIAN HIGH SCHOOL,5801 SW 120TH AVE,,,MIAMI,FL,33183,1611,,
101111,MIAMI DOUGLAS MACARTHUR HS N,13835 NORTHWEST 97TH AVENUE,,,HIALEAH,FL,33016,,,
101112,MIAMI MACARTHUR EDUCTNL CENTER,13990 SW 264TH ST,,,NARANJA,FL,33032,7402,,
101116,HEBREW ACADEMY,2425 PINE TREE DR,,,MIAMI BEACH,FL,33140,4629,,
101117,MICCOSUKEE INDIAN SCHOOL,PO BOX 440021,,,MIAMI,FL,33144,21,,
101118,MECHINA HIGH SCHOOL,4000 ALTON RD,,,MIAMI,FL,33140,3854,,
101119,BEIS CHANA,17330 NW 7TH AVE,,,MIAMI,FL,33169,5407,,
101124,GRACE BAPTIST ACADEMY,19301 SOUTHWEST 127TH AVENUE,,,MIAMI,FL,33177,4299,,
101125,ABUNDANT LIFE CHRISTIAN ACDMY,1494 BANKS RD,,,MARGATE,FL,33063,3920,,
101127,BETH JACOB HS OF GREATER MIAMI,1110 NE 163RD ST,,,N MIAMI BEACH,FL,33162,4530,,
101130,VALOR CHRISTIAN LEADERSHIP ACD,1102 CYPRESS GARDENS BLVD -,STE G,,WINTER HAVEN,FL,33884,1924,,
101131,OUR LADY OF LOURDES ACADEMY,5525 SW 84TH ST,,,MIAMI,FL,33143,8322,,
101132,APOPKA CHRISTIAN ACADEMY,509 S PARK AVE,,,APOPKA,FL,32703,5263,,
101137,VANN ACADEMY,400 NORTHWEST 112 AVENUE,,,MIAMI,FL,33172,,,
101138,SARASOTA ACCELERATION ACADEMY,935 N BENEVA RD STE 301,,,SARASOTA,FL,34232,1399,,
101139,NEW WORLD SCHOOL OF THE ARTS,25 NE 2ND ST BUILDING 5 6TH FL,,,MIAMI,FL,33132,2103,,
101140,MIAMI BEACH SENIOR HIGH SCHOOL,2231 PRAIRIE AVE,,,MIAMI BEACH,FL,33139,1517,,
101141,IL SAVIOR ACADEMY,10135 SW 56TH ST,,,MIAMI,FL,33165,7127,,
101142,COVENANT TEACHING FELLOWSHIP,4918 ROOSEVELT ST,,,HOLLYWOOD,FL,33021,4030,,
101143,SCHOOL FOR ADVANCED STUDIES,11380 NW 27TH AVENUE,MIAMI DADE COMMUNITY COLLEGE,,MIAMI,FL,33167,,,
101146,YESHIVA TORAS CHAIM,1025 NE MIAMI GARDENS DR,,,NORTH MIAMI BEAC,FL,33179,4615,,
101147,MIAMI SPRINGS SENIOR HS,751 DOVE AVE,,,MIAMI SPRINGS,FL,33166,3203,,
101150,CENTRAL SCHOOL,6180 CENTRAL SCHOOL RD,,,MILTON,FL,32570,8545,,
